Year,Cycle,Population,Age,Obesity,SE_obesity,NEFF_obesity,LL_obesity,UL_obesity,Rel_obesity
1999.5,1999-2000,"Black, non-Hispanic",18-24,0.26555875,0.041440195,113.572739,0.187084579,0.356647469,Yes
1999.5,1999-2000,"Black, non-Hispanic",25-44,0.42735,0.026901661,338.1542087,0.373985642,0.481998005,Yes
1999.5,1999-2000,"Black, non-Hispanic",45-64,0.426657608,0.024977453,392.1003781,0.367670718,0.487230712,Yes
1999.5,1999-2000,"Black, non-Hispanic",65+,0.417530684,0.034928817,199.3396492,0.348252418,0.489299383,Yes
1999.5,1999-2000,"White, non-Hispanic",18-24,0.177681538,0.03083708,153.6511608,0.120772182,0.247447617,Yes
1999.5,1999-2000,"White, non-Hispanic",25-44,0.252721585,0.020425115,452.6846502,0.213312703,0.2953959,Yes
1999.5,1999-2000,"White, non-Hispanic",45-64,0.354981814,0.034358996,193.9532809,0.287752199,0.42672031,Yes
1999.5,1999-2000,"White, non-Hispanic",65+,0.318314376,0.022186944,440.803899,0.275040962,0.364046908,Yes
1999.5,1999-2000,"Other race, non-Hispanic",18-24,0.170656575,0.065100333,33.39573528,0.063220131,0.3403857,No
1999.5,1999-2000,"Other race, non-Hispanic",25-44,0.446906139,0.071244255,48.69848538,0.304333389,0.596169443,Yes
1999.5,1999-2000,"Other race, non-Hispanic",45-64,0.272709901,0.07170283,38.57766967,0.142170274,0.439815335,Yes
1999.5,1999-2000,"Other race, non-Hispanic",65+,0.196128619,0.086458425,21.09176383,0.057788375,0.424855386,No
1999.5,1999-2000,Mexican American,18-24,0.266460281,0.026814662,271.8388087,0.21486899,0.32322295,Yes
1999.5,1999-2000,Mexican American,25-44,0.333944165,0.029551841,254.6920662,0.276297911,0.395508385,Yes
1999.5,1999-2000,Mexican American,45-64,0.373632533,0.03874706,155.8821451,0.297557902,0.45460983,Yes
1999.5,1999-2000,Mexican American,65+,0.361517743,0.048122385,99.67452338,0.267645863,0.463854979,Yes
1999.5,1999-2000,Other Hispanic,18-24,0.181052225,0.043943688,76.78335169,0.095348254,0.298361332,Yes
1999.5,1999-2000,Other Hispanic,25-44,0.275961151,0.019973061,500.8648699,0.19703902,0.366672712,Yes
1999.5,1999-2000,Other Hispanic,45-64,0.389136032,0.063094757,59.71169671,0.265594033,0.524063401,Yes
1999.5,1999-2000,Other Hispanic,65+,0.26662934,0.041270303,114.8037697,0.166639688,0.387777996,Yes
2001.5,2001-2002,"Black, non-Hispanic",18-24,0.286406368,0.031748249,202.7655022,0.225258401,0.353919012,Yes
2001.5,2001-2002,"Black, non-Hispanic",25-44,0.394721541,0.026554928,338.80966,0.342321186,0.44897918,Yes
2001.5,2001-2002,"Black, non-Hispanic",45-64,0.445159287,0.026593566,349.2453272,0.390221035,0.501109247,Yes
2001.5,2001-2002,"Black, non-Hispanic",65+,0.483392362,0.036901992,183.3838041,0.40912974,0.558200491,Yes
2001.5,2001-2002,"White, non-Hispanic",18-24,0.244576334,0.028922361,220.8704039,0.189403573,0.306742971,Yes
2001.5,2001-2002,"White, non-Hispanic",25-44,0.301951132,0.014582171,991.2383472,0.271496461,0.33376176,Yes
2001.5,2001-2002,"White, non-Hispanic",45-64,0.372202566,0.01585599,929.4203784,0.338625651,0.406723947,Yes
2001.5,2001-2002,"White, non-Hispanic",65+,0.363404047,0.026889997,319.9426411,0.310619903,0.418743502,Yes
2001.5,2001-2002,"Other race, non-Hispanic",18-24,0.10338461,0.034932991,75.96097474,0.035252025,0.222413415,No
2001.5,2001-2002,"Other race, non-Hispanic",25-44,0.214989576,0.036937499,123.696628,0.131894755,0.319559886,Yes
2001.5,2001-2002,"Other race, non-Hispanic",45-64,0.200289031,0.071150898,31.63948802,0.079857668,0.380195558,No
2001.5,2001-2002,"Other race, non-Hispanic",65+,0.247326083,0.181734968,5.636373797,0.0156384,0.725584616,No
2001.5,2001-2002,Mexican American,18-24,0.227032582,0.022976625,332.4121497,0.183103769,0.275899631,Yes
2001.5,2001-2002,Mexican American,25-44,0.29250248,0.020404511,497.0522998,0.25185709,0.335764795,Yes
2001.5,2001-2002,Mexican American,45-64,0.458497133,0.033651611,219.2429582,0.391220717,0.526911007,Yes
2001.5,2001-2002,Mexican American,65+,0.321808035,0.039964662,136.6461014,0.244491778,0.407041952,Yes
2001.5,2001-2002,Other Hispanic,18-24,0.44495766,0.119585489,17.26982099,0.211357849,0.697989135,No
2001.5,2001-2002,Other Hispanic,25-44,0.374281429,0.052461279,85.09412617,0.271687112,0.485895602,Yes
2001.5,2001-2002,Other Hispanic,45-64,0.31383025,0.067497878,47.2657042,0.186794417,0.465178496,Yes
2001.5,2001-2002,Other Hispanic,65+,0.445300716,0.072831139,46.56684269,0.299692975,0.598119868,Yes
2003.5,2003-2004,"Black, non-Hispanic",18-24,0.326530756,0.031834773,216.9893175,0.264591993,0.393286426,Yes
2003.5,2003-2004,"Black, non-Hispanic",25-44,0.49595703,0.033861105,218.0265409,0.427750218,0.564275257,Yes
2003.5,2003-2004,"Black, non-Hispanic",45-64,0.469696141,0.029303349,290.0729777,0.411107197,0.528910341,Yes
2003.5,2003-2004,"Black, non-Hispanic",65+,0.450103231,0.038202657,169.5923161,0.373745409,0.5282357,Yes
2003.5,2003-2004,"White, non-Hispanic",18-24,0.235127813,0.02814515,227.0312953,0.181550605,0.295761965,Yes
2003.5,2003-2004,"White, non-Hispanic",25-44,0.303548638,0.016051728,820.4942107,0.272050204,0.33648256,Yes
2003.5,2003-2004,"White, non-Hispanic",45-64,0.363468247,0.026800775,322.1008313,0.310858092,0.418615163,Yes
2003.5,2003-2004,"White, non-Hispanic",65+,0.300867658,0.017015854,726.4862401,0.267694784,0.33566691,Yes
2003.5,2003-2004,"Other race, non-Hispanic",18-24,0.158841513,0.061171712,35.70594825,0.058478107,0.319700183,No
2003.5,2003-2004,"Other race, non-Hispanic",25-44,0.254705574,0.088861863,24.04005699,0.100948154,0.471939802,No
2003.5,2003-2004,"Other race, non-Hispanic",45-64,0.13204144,0.042929183,62.18762785,0.059537698,0.2419217,No
2003.5,2003-2004,"Other race, non-Hispanic",65+,0.221298002,0.079020353,27.59757076,0.086777254,0.419002579,No
2003.5,2003-2004,Mexican American,18-24,0.240349826,0.042249767,102.2842629,0.16136053,0.334914672,Yes
2003.5,2003-2004,Mexican American,25-44,0.381864723,0.032345447,225.6143726,0.318183285,0.448694461,Yes
2003.5,2003-2004,Mexican American,45-64,0.442402196,0.035251123,198.5145784,0.372118661,0.514431877,Yes
2003.5,2003-2004,Mexican American,65+,0.357365316,0.018798264,649.8917947,0.300199935,0.417700509,Yes
2003.5,2003-2004,Other Hispanic,18-24,0.419863132,0.114649472,18.53079659,0.199137183,0.667027763,No
2003.5,2003-2004,Other Hispanic,25-44,0.246006782,0.082964001,26.94853386,0.101935553,0.448821509,No
2003.5,2003-2004,Other Hispanic,45-64,0.312506285,0.069235928,44.81923686,0.168945003,0.488287777,No
2003.5,2003-2004,Other Hispanic,65+,0.351275865,0.101050293,22.31686644,0.163900394,0.579687771,No
2005.5,2005-2006,"Black, non-Hispanic",18-24,0.387739438,0.047060753,107.1910471,0.295150859,0.486696671,Yes
2005.5,2005-2006,"Black, non-Hispanic",25-44,0.447822338,0.020087633,612.8117192,0.398937687,0.497467261,Yes
2005.5,2005-2006,"Black, non-Hispanic",45-64,0.469192811,0.02732601,333.5306052,0.414618064,0.524319365,Yes
2005.5,2005-2006,"Black, non-Hispanic",65+,0.526940182,0.026384135,358.0895536,0.458556217,0.594585035,Yes
2005.5,2005-2006,"White, non-Hispanic",18-24,0.227616242,0.03494429,143.9739597,0.161940722,0.304838095,Yes
2005.5,2005-2006,"White, non-Hispanic",25-44,0.317775345,0.028738796,262.488609,0.261888235,0.377834525,Yes
2005.5,2005-2006,"White, non-Hispanic",45-64,0.397064729,0.025503205,368.0802308,0.346726585,0.449072548,Yes
2005.5,2005-2006,"White, non-Hispanic",65+,0.315460829,0.019720757,555.2602201,0.276978772,0.355920231,Yes
2005.5,2005-2006,"Other race, non-Hispanic",18-24,0.198627665,0.082006147,23.66907398,0.064820347,0.412378586,No
2005.5,2005-2006,"Other race, non-Hispanic",25-44,0.217167201,0.050470698,66.73975742,0.125547933,0.335064799,Yes
2005.5,2005-2006,"Other race, non-Hispanic",45-64,0.468919701,0.070911703,49.52481246,0.32567204,0.616016845,Yes
2005.5,2005-2006,"Other race, non-Hispanic",65+,0.148350525,0.077473548,21.04956264,0.033107921,0.369694074,No
2005.5,2005-2006,Mexican American,18-24,0.217008647,0.031820056,167.8155251,0.157185504,0.287103373,Yes
2005.5,2005-2006,Mexican American,25-44,0.333280422,0.02095054,506.2471046,0.290355407,0.378361087,Yes
2005.5,2005-2006,Mexican American,45-64,0.431276816,0.030106011,270.6142281,0.370244859,0.49389357,Yes
2005.5,2005-2006,Mexican American,65+,0.330054063,0.031142896,227.9853024,0.251868541,0.415824623,Yes
2005.5,2005-2006,Other Hispanic,18-24,0.196048754,0.088542848,20.10420144,0.05542908,0.43144769,No
2005.5,2005-2006,Other Hispanic,25-44,0.447181047,0.04489894,122.6292675,0.338528767,0.55966638,Yes
2005.5,2005-2006,Other Hispanic,45-64,0.286573872,0.095396925,22.46553955,0.118061925,0.513916333,No
2005.5,2005-2006,Other Hispanic,65+,0.060219521,0.052674291,20.39700096,0.001948687,0.279545713,No
2007.5,2007-2008,"Black, non-Hispanic",18-24,0.323289504,0.029523213,250.9962842,0.255055551,0.39755913,Yes
2007.5,2007-2008,"Black, non-Hispanic",25-44,0.429566656,0.024049065,423.6810668,0.380298382,0.479892763,Yes
2007.5,2007-2008,"Black, non-Hispanic",45-64,0.481512161,0.031279272,255.171726,0.418775419,0.544683273,Yes
2007.5,2007-2008,"Black, non-Hispanic",65+,0.485367991,0.028768745,301.8047722,0.424350282,0.546710343,Yes
2007.5,2007-2008,"White, non-Hispanic",18-24,0.224774001,0.039277365,112.9509058,0.151580729,0.312912449,Yes
2007.5,2007-2008,"White, non-Hispanic",25-44,0.323264433,0.026121707,320.6075933,0.272350752,0.377480765,Yes
2007.5,2007-2008,"White, non-Hispanic",45-64,0.369021718,0.022347036,466.2581989,0.32510213,0.414614285,Yes
2007.5,2007-2008,"White, non-Hispanic",65+,0.326009047,0.017547379,713.6072076,0.291696039,0.361768209,Yes
2007.5,2007-2008,"Other race, non-Hispanic",18-24,0.195023268,0.081234207,23.78985905,0.062949266,0.407649578,No
2007.5,2007-2008,"Other race, non-Hispanic",25-44,0.157887572,0.043336384,70.79664656,0.082062403,0.263947228,Yes
2007.5,2007-2008,"Other race, non-Hispanic",45-64,0.268168951,0.095777889,21.39384272,0.102437471,0.501102329,No
2007.5,2007-2008,"Other race, non-Hispanic",65+,0.174364994,0.080871842,22.01165662,0.047880164,0.394179788,No
2007.5,2007-2008,Mexican American,18-24,0.281673583,0.044874753,100.4763438,0.196452283,0.380187144,Yes
2007.5,2007-2008,Mexican American,25-44,0.405458237,0.042951103,130.6711906,0.32048499,0.494815789,Yes
2007.5,2007-2008,Mexican American,45-64,0.442362085,0.035572158,194.9439562,0.37143285,0.515071162,Yes
2007.5,2007-2008,Mexican American,65+,0.405409527,0.03536408,192.7467936,0.326617642,0.487963659,Yes
2007.5,2007-2008,Other Hispanic,18-24,0.307358974,0.065371487,49.81697868,0.184481121,0.45410326,Yes
2007.5,2007-2008,Other Hispanic,25-44,0.279409778,0.027121719,273.7130727,0.219849647,0.345315191,Yes
2007.5,2007-2008,Other Hispanic,45-64,0.458341058,0.037794804,173.8002814,0.382669444,0.535457824,Yes
2007.5,2007-2008,Other Hispanic,65+,0.363703258,0.047325384,103.3281375,0.271290345,0.464148129,Yes
2009.5,2009-2010,"Black, non-Hispanic",18-24,0.351889184,0.037110491,165.6005576,0.279392672,0.429793021,Yes
2009.5,2009-2010,"Black, non-Hispanic",25-44,0.513183656,0.046063167,117.7417192,0.419340045,0.60634832,Yes
2009.5,2009-2010,"Black, non-Hispanic",45-64,0.538521997,0.024790926,404.3607268,0.488565785,0.587910438,Yes
2009.5,2009-2010,"Black, non-Hispanic",65+,0.48163087,0.049683108,101.1430229,0.381156912,0.583208596,Yes
2009.5,2009-2010,"White, non-Hispanic",18-24,0.228965892,0.036299896,133.9780403,0.160846308,0.309447266,Yes
2009.5,2009-2010,"White, non-Hispanic",25-44,0.326911245,0.016907252,769.7613955,0.293841089,0.361314008,Yes
2009.5,2009-2010,"White, non-Hispanic",45-64,0.383815333,0.020126068,583.8688827,0.344186875,0.424625515,Yes
2009.5,2009-2010,"White, non-Hispanic",65+,0.387177949,0.017737711,754.1362642,0.352249334,0.422992548,Yes
2009.5,2009-2010,"Other race, non-Hispanic",18-24,0.129943081,0.072186608,21.69639411,0.025771657,0.343160891,No
2009.5,2009-2010,"Other race, non-Hispanic",25-44,0.254941232,0.045928875,90.04487324,0.168902546,0.357695389,Yes
2009.5,2009-2010,"Other race, non-Hispanic",45-64,0.130381874,0.026984628,155.7087185,0.070317125,0.214521109,Yes
2009.5,2009-2010,"Other race, non-Hispanic",65+,0.198972241,0.059679353,44.74987706,0.094773499,0.345274254,Yes
2009.5,2009-2010,Mexican American,18-24,0.22811553,0.032829351,163.3738593,0.166199145,0.300163802,Yes
2009.5,2009-2010,Mexican American,25-44,0.407671584,0.01891656,674.8211816,0.360281082,0.456372216,Yes
2009.5,2009-2010,Mexican American,45-64,0.488517197,0.025486077,384.684706,0.43752118,0.539691208,Yes
2009.5,2009-2010,Mexican American,65+,0.365398667,0.050156373,92.17553891,0.267517773,0.472186715,Yes
2009.5,2009-2010,Other Hispanic,18-24,0.218118056,0.036279573,129.5711972,0.134450925,0.323016725,Yes
2009.5,2009-2010,Other Hispanic,25-44,0.320910557,0.032705313,203.739088,0.257390804,0.389733002,Yes
2009.5,2009-2010,Other Hispanic,45-64,0.43961082,0.066213737,56.19037268,0.307410136,0.578397971,Yes
2009.5,2009-2010,Other Hispanic,65+,0.439492172,0.035079739,200.1797432,0.343213955,0.539238515,Yes
2011.5,2011-2012,"Black, non-Hispanic",18-24,0.317740789,0.027417979,288.3709437,0.262013668,0.37761653,Yes
2011.5,2011-2012,"Black, non-Hispanic",25-44,0.52932924,0.035277573,200.1915329,0.45769963,0.600077446,Yes
2011.5,2011-2012,"Black, non-Hispanic",45-64,0.502024492,0.015390143,1055.474047,0.460513557,0.543514677,Yes
2011.5,2011-2012,"Black, non-Hispanic",65+,0.445135655,0.037730431,173.4984794,0.36981481,0.522363339,Yes
2011.5,2011-2012,"White, non-Hispanic",18-24,0.209385611,0.047725099,72.68049309,0.122754589,0.320797748,Yes
2011.5,2011-2012,"White, non-Hispanic",25-44,0.308315225,0.024549416,353.8513554,0.260568111,0.359304841,Yes
2011.5,2011-2012,"White, non-Hispanic",45-64,0.381751738,0.032402421,224.7962203,0.317959849,0.448706583,Yes
2011.5,2011-2012,"White, non-Hispanic",65+,0.331259697,0.024498599,369.0996285,0.283412118,0.381840311,Yes
2011.5,2011-2012,"Other race, non-Hispanic",18-24,0.128533563,0.035918703,86.82122552,0.06632569,0.217576081,Yes
2011.5,2011-2012,"Other race, non-Hispanic",25-44,0.188561616,0.036272065,116.2958647,0.12200787,0.27160136,Yes
2011.5,2011-2012,"Other race, non-Hispanic",45-64,0.201067061,0.046560682,74.09904181,0.116876515,0.310280197,Yes
2011.5,2011-2012,"Other race, non-Hispanic",65+,0.264727673,0.038728799,129.7715542,0.191176971,0.349331507,Yes
2011.5,2011-2012,Mexican American,18-24,0.343211732,0.050099025,89.81088159,0.246196135,0.450889708,Yes
2011.5,2011-2012,Mexican American,25-44,0.420844359,0.033822288,213.0643709,0.353725945,0.490196872,Yes
2011.5,2011-2012,Mexican American,45-64,0.540372672,0.039771267,157.0219529,0.459115794,0.62007703,Yes
2011.5,2011-2012,Mexican American,65+,0.519566887,0.088727642,31.70709982,0.335837578,0.699503178,No
2011.5,2011-2012,Other Hispanic,18-24,0.322695603,0.050421195,85.97074191,0.22583128,0.432177468,Yes
2011.5,2011-2012,Other Hispanic,25-44,0.355662451,0.039987583,143.318132,0.277546804,0.439880236,Yes
2011.5,2011-2012,Other Hispanic,45-64,0.412752073,0.045662001,116.2521182,0.322248722,0.507810869,Yes
2011.5,2011-2012,Other Hispanic,65+,0.394180783,0.029607181,272.4233864,0.311517703,0.481557118,Yes
2013.5,2013-2014,"Black, non-Hispanic",18-24,0.296788734,0.033750873,183.2159153,0.231695995,0.368590739,Yes
2013.5,2013-2014,"Black, non-Hispanic",25-44,0.482787619,0.032185715,241.0453257,0.418184978,0.547818701,Yes
2013.5,2013-2014,"Black, non-Hispanic",45-64,0.539763231,0.034990854,202.896948,0.468569714,0.609777869,Yes
2013.5,2013-2014,"Black, non-Hispanic",65+,0.451646355,0.034490109,208.1949111,0.382766407,0.521922955,Yes
2013.5,2013-2014,"White, non-Hispanic",18-24,0.220875413,0.033158113,156.5217444,0.158567203,0.294056476,Yes
2013.5,2013-2014,"White, non-Hispanic",25-44,0.371742236,0.018135028,710.1389296,0.336090481,0.408464462,Yes
2013.5,2013-2014,"White, non-Hispanic",45-64,0.410973313,0.026749749,338.305592,0.358049567,0.465469645,Yes
2013.5,2013-2014,"White, non-Hispanic",65+,0.369425422,0.022898475,444.2731961,0.324420081,0.416182142,Yes
2013.5,2013-2014,"Other race, non-Hispanic",18-24,0.218014767,0.062015521,44.32856437,0.108219793,0.367505993,Yes
2013.5,2013-2014,"Other race, non-Hispanic",25-44,0.229628231,0.027423898,235.2162144,0.177469326,0.288738372,Yes
2013.5,2013-2014,"Other race, non-Hispanic",45-64,0.16814645,0.041228013,82.29051288,0.094713505,0.266674844,Yes
2013.5,2013-2014,"Other race, non-Hispanic",65+,0.201605014,0.041090781,95.33016485,0.126356843,0.296168592,Yes
2013.5,2013-2014,Mexican American,18-24,0.312063016,0.038140509,147.5767629,0.238406163,0.393445537,Yes
2013.5,2013-2014,Mexican American,25-44,0.509636458,0.015389468,1055.19196,0.450533609,0.568540441,Yes
2013.5,2013-2014,Mexican American,45-64,0.479518338,0.029339577,289.936539,0.418474758,0.541018068,Yes
2013.5,2013-2014,Mexican American,65+,0.447064852,0.047810819,108.1414921,0.351377161,0.54572535,Yes
2013.5,2013-2014,Other Hispanic,18-24,0.333413454,0.062760589,56.42422989,0.213499804,0.471490363,Yes
2013.5,2013-2014,Other Hispanic,25-44,0.362384972,0.036401919,174.373371,0.291072828,0.438463112,Yes
2013.5,2013-2014,Other Hispanic,45-64,0.380136163,0.032829183,218.6328081,0.310296111,0.453841196,Yes
2013.5,2013-2014,Other Hispanic,65+,0.332662998,0.045659681,106.4839009,0.238826595,0.437369376,Yes
2015.5,2015-2016,"Black, non-Hispanic",18-24,0.25757796,0.035866246,148.6578045,0.189420782,0.335657931,Yes
2015.5,2015-2016,"Black, non-Hispanic",25-44,0.499803779,0.027900976,321.1449971,0.443783334,0.555827877,Yes
2015.5,2015-2016,"Black, non-Hispanic",45-64,0.510560067,0.028680107,303.7978521,0.452837234,0.568074999,Yes
2015.5,2015-2016,"Black, non-Hispanic",65+,0.445335165,0.034246649,210.6111917,0.377033477,0.515197511,Yes
2015.5,2015-2016,"White, non-Hispanic",18-24,0.280649353,0.039201741,131.3693244,0.20579049,0.365675069,Yes
2015.5,2015-2016,"White, non-Hispanic",25-44,0.371784842,0.02989002,261.4253383,0.313041819,0.433471067,Yes
2015.5,2015-2016,"White, non-Hispanic",45-64,0.415642849,0.030794391,256.1270453,0.354624402,0.478636832,Yes
2015.5,2015-2016,"White, non-Hispanic",65+,0.389284603,0.02219098,482.7842932,0.345549854,0.434384108,Yes
2015.5,2015-2016,"Other race, non-Hispanic",18-24,0.301412319,0.063073369,52.92853327,0.182934186,0.44304057,Yes
2015.5,2015-2016,"Other race, non-Hispanic",25-44,0.251871737,0.038110444,129.7380851,0.179816211,0.335598551,Yes
2015.5,2015-2016,"Other race, non-Hispanic",45-64,0.283113086,0.05031323,80.17633549,0.18808528,0.394751221,Yes
2015.5,2015-2016,"Other race, non-Hispanic",65+,0.347221273,0.065620003,52.63805386,0.221302315,0.490997546,Yes
2015.5,2015-2016,Mexican American,18-24,0.369899867,0.034194851,199.3298409,0.291013979,0.454257118,Yes
2015.5,2015-2016,Mexican American,25-44,0.486326768,0.024067771,431.2641577,0.43496596,0.537902744,Yes
2015.5,2015-2016,Mexican American,45-64,0.553270114,0.028244662,309.8200117,0.496013004,0.609498919,Yes
2015.5,2015-2016,Mexican American,65+,0.459294252,0.039074812,162.6515497,0.381009488,0.539089373,Yes
2015.5,2015-2016,Other Hispanic,18-24,0.35015394,0.070024043,46.40610754,0.216068455,0.504129275,Yes
2015.5,2015-2016,Other Hispanic,25-44,0.435110704,0.037568145,174.1500569,0.360282993,0.512185366,Yes
2015.5,2015-2016,Other Hispanic,45-64,0.463282694,0.043198415,133.2465767,0.376539839,0.551693519,Yes
2015.5,2015-2016,Other Hispanic,65+,0.426926827,0.042481891,135.5675797,0.342415642,0.514701215,Yes
2018.6,2017-March 2020,"Black, non-Hispanic",18-24,0.338716572,0.036995916,163.6501924,0.266686062,0.416709279,Yes
2018.6,2017-March 2020,"Black, non-Hispanic",25-44,0.491110317,0.02178494,526.6110727,0.447616475,0.534704448,Yes
2018.6,2017-March 2020,"Black, non-Hispanic",45-64,0.572351243,0.015357235,1037.824173,0.540386456,0.603871824,Yes
2018.6,2017-March 2020,"Black, non-Hispanic",65+,0.489749333,0.022248304,504.8514749,0.44532343,0.53429592,Yes
2018.6,2017-March 2020,"White, non-Hispanic",18-24,0.307942132,0.052026812,78.73305287,0.20873941,0.422102424,Yes
2018.6,2017-March 2020,"White, non-Hispanic",25-44,0.422092644,0.021012773,552.458011,0.380515761,0.464507145,Yes
2018.6,2017-March 2020,"White, non-Hispanic",45-64,0.423160525,0.029644357,277.7640617,0.36435507,0.48362326,Yes
2018.6,2017-March 2020,"White, non-Hispanic",65+,0.423262034,0.022884233,466.1386832,0.377948391,0.469555405,Yes
2018.6,2017-March 2020,"Other race, non-Hispanic",18-24,0.291827234,0.049135612,85.59970999,0.198530042,0.40003169,Yes
2018.6,2017-March 2020,"Other race, non-Hispanic",25-44,0.308701097,0.025904364,318.0227425,0.258349603,0.362658537,Yes
2018.6,2017-March 2020,"Other race, non-Hispanic",45-64,0.324583233,0.042775236,119.8155256,0.241904427,0.416169574,Yes
2018.6,2017-March 2020,"Other race, non-Hispanic",65+,0.23334931,0.045518216,86.34428452,0.149026456,0.336694285,Yes
2018.6,2017-March 2020,Mexican American,18-24,0.393739369,0.081432552,35.99748114,0.235523974,0.570131292,No
2018.6,2017-March 2020,Mexican American,25-44,0.526486369,0.0230861,467.7550258,0.476136421,0.576439641,Yes
2018.6,2017-March 2020,Mexican American,45-64,0.506044718,0.035478883,198.5805219,0.434356492,0.577549806,Yes
2018.6,2017-March 2020,Mexican American,65+,0.497566497,0.054508098,84.14099868,0.386601436,0.608707794,Yes
2018.6,2017-March 2020,Other Hispanic,18-24,0.356607143,0.051201315,87.51934174,0.257040071,0.466179346,Yes
2018.6,2017-March 2020,Other Hispanic,25-44,0.384513795,0.027254039,318.6166733,0.328137915,0.44328374,Yes
2018.6,2017-March 2020,Other Hispanic,45-64,0.446401401,0.037512563,175.6172016,0.371498899,0.523143919,Yes
2018.6,2017-March 2020,Other Hispanic,65+,0.464244721,0.041306002,145.7763642,0.381331985,0.548640091,Yes
